"USER","Biosfera Val Müstair","Jurapark Aargau","Landschaftspark Binntal","Naturpark Beverin","Naturpark Diemtigtal","Naturpark Gantrisch","Naturpark Pfyn-Finges","Naturpark Thal","Parc du Doubs","Parc Ela","Parc Jura vaudois","Parc naturel périurbain du Jorat","Parc naturel régional de la Vallée du Trient","Parc naturel régional Gruyère Pays-d’Enhaut","Parc régional Chasseral","Parco Val Calanca","Regionaler Naturpark Schaffhausen","Schweizerischer Nationalpark","UNESCO Biosphäre Entlebuch","Wildnispark Zürich Sihlwald","Total_Park"
"60c22cac93495e76dea33afaeb34c1fb",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"62adb97bc4fe5639c92099820e888e4c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"63ab76cfb73571a1c6b53908c5c5747c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"660c9c004b0210ca661fd678937c936f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6c9cb5ef254524b78dcd67168635db9e",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6d1745c3a66b15e25088c7f78338c055",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6d5c64f44298b68e105fc22146baa6b9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7a7a4e156fb486307ec9606e00766f59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7d52911e0bf22f37095266e6c152e167",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8145ab75677ea5f49415eaf02f06414c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"86fb505f72046f142001b51ebc79afd0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"877cf3fec2fe7bb65a7def981e6b8ba7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"87d76b951807f278838429c7dcf1ea62",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8c5e6bb94cbc0d8e41fe5dfa1b59a6b8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8cac5c3bd48a6cfa77149c921cb5acb0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"910413d534550d219d7aa63b03f42727",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9321a02ae1302365d74eb21d6fb762e0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"94c1c714e64be294a409d8a34ea36ae3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9fc7b8492c8bbb53157b4c822230c879",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a0282286990f16c7a04674d78a76b400",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a110530b2b98902b47301010f35bcb0c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a62304b40b0c5148acb6c42a0da54bbc",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a79526b3318b23849f38beb1d2e45b97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a80cf9301af5126efd55c89e1e47c1b0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"aa8aaa15241dbc553ee9c0e9cb941ee2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ab7b710dc2ab9e3fd947910d3421fd36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ac4c6af06797de7ab103037d3dadde13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"afd54ebcbb481f1f89e61257cb9e0817",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"b37c84fa7d9a9000373e19e70abe2cbe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"b53db13852f278f1fd7c0137f6ebda36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"b893ae78be997e2d3853d4fe7027655a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ba994b72c8f535530580bd2960611c6f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"c0d9015462d7919e5d7cb327d843644f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"c3801e8aa8978778d1ae1f8046433587",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"d2be362b59b528e96afd9ad9a88c3f91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"d5acc78f0988f445c0a53e22077ce474",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"d5b13e5566af2ccb68b0aa42932b016e",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"d857a78fe93be800d5498b642df3f5c9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"da8f6f4e8371663d0131bb2e30f418d0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dc9da370ec65f92ec24b4b54a577adb4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"de6182e5233365c14da6a1d227558a3c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"decc2179affdcc730e7d207b94c92c76",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e02205f329e33de1ec1ebfafb095727d",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e098e4e96e20d9a3f18e480a370c1371",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e0ecd7fbdf161691059dcfec009f50b9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e125c2c9a26c20f2833e415a1dbe9450",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e637d1356d5b9920effc9887a2996b72",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e7a3459a23dbcdfb739b1d5345b8ee60",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e8a261bf4b9433cc42bc3cc242a7f0c2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"f0217d7affafb9517b819babaed2a91e",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
